SLURM_JOB_ID: 65376540
SLURM_JOB_USER: vsc37933
SLURM_JOB_ACCOUNT: lp_h_pds_iiw
SLURM_JOB_NAME: main
SLURM_CLUSTER_NAME: wice
SLURM_JOB_PARTITION: gpu
SLURM_NNODES: 1
SLURM_NODELIST: k28g32
SLURM_JOB_CPUS_PER_NODE: 1
SLURM_JOB_GPUS: 0
Date: Wed Oct 29 14:41:16 CET 2025
Walltime: 00-00:10:00
========================================================================
Index	Block	Thread
  0	  0	  0
  1	  0	  1
  2	  0	  2
  3	  0	  3
  4	  0	  4
  5	  0	  5
  6	  0	  6
  7	  0	  7
  8	  0	  8
  9	  0	  9
 10	  0	 10
 11	  0	 11
 12	  0	 12
 13	  0	 13
 14	  0	 14
 15	  0	 15
 16	  0	 16
 17	  0	 17
 18	  0	 18
 19	  0	 19
 20	  0	 20
 21	  0	 21
 22	  0	 22
 23	  0	 23
 24	  0	 24
 25	  0	 25
 26	  0	 26
 27	  0	 27
 28	  0	 28
 29	  0	 29
 30	  0	 30
 31	  0	 31
 32	  1	  0
 33	  1	  1
 34	  1	  2
 35	  1	  3
 36	  1	  4
 37	  1	  5
 38	  1	  6
 39	  1	  7
 40	  1	  8
 41	  1	  9
 42	  1	 10
 43	  1	 11
 44	  1	 12
 45	  1	 13
 46	  1	 14
 47	  1	 15
 48	  1	 16
 49	  1	 17
 50	  1	 18
 51	  1	 19
 52	  1	 20
 53	  1	 21
 54	  1	 22
 55	  1	 23
 56	  1	 24
 57	  1	 25
 58	  1	 26
 59	  1	 27
 60	  1	 28
 61	  1	 29
 62	  1	 30
 63	  1	 31
 64	  2	  0
 65	  2	  1
 66	  2	  2
 67	  2	  3
 68	  2	  4
 69	  2	  5
 70	  2	  6
 71	  2	  7
 72	  2	  8
 73	  2	  9
 74	  2	 10
 75	  2	 11
 76	  2	 12
 77	  2	 13
 78	  2	 14
 79	  2	 15
 80	  2	 16
 81	  2	 17
 82	  2	 18
 83	  2	 19
 84	  2	 20
 85	  2	 21
 86	  2	 22
 87	  2	 23
 88	  2	 24
 89	  2	 25
 90	  2	 26
 91	  2	 27
 92	  2	 28
 93	  2	 29
 94	  2	 30
 95	  2	 31
 96	  3	  0
 97	  3	  1
 98	  3	  2
 99	  3	  3
100	  3	  4
101	  3	  5
102	  3	  6
103	  3	  7
104	  3	  8
105	  3	  9
106	  3	 10
107	  3	 11
108	  3	 12
109	  3	 13
110	  3	 14
111	  3	 15
112	  3	 16
113	  3	 17
114	  3	 18
115	  3	 19
116	  3	 20
117	  3	 21
118	  3	 22
119	  3	 23
120	  3	 24
121	  3	 25
122	  3	 26
123	  3	 27
124	  3	 28
125	  3	 29
126	  3	 30
127	  3	 31
128	  4	  0
129	  4	  1
130	  4	  2
131	  4	  3
132	  4	  4
133	  4	  5
134	  4	  6
135	  4	  7
136	  4	  8
137	  4	  9
138	  4	 10
139	  4	 11
140	  4	 12
141	  4	 13
142	  4	 14
143	  4	 15
144	  4	 16
145	  4	 17
146	  4	 18
147	  4	 19
148	  4	 20
149	  4	 21
150	  4	 22
151	  4	 23
152	  4	 24
153	  4	 25
154	  4	 26
155	  4	 27
156	  4	 28
157	  4	 29
158	  4	 30
159	  4	 31
160	  5	  0
161	  5	  1
162	  5	  2
163	  5	  3
164	  5	  4
165	  5	  5
166	  5	  6
167	  5	  7
168	  5	  8
169	  5	  9
170	  5	 10
171	  5	 11
172	  5	 12
173	  5	 13
174	  5	 14
175	  5	 15
176	  5	 16
177	  5	 17
178	  5	 18
179	  5	 19
180	  5	 20
181	  5	 21
182	  5	 22
183	  5	 23
184	  5	 24
185	  5	 25
186	  5	 26
187	  5	 27
188	  5	 28
189	  5	 29
